Şehir,Nüfus
Adana,2270298
Adıyaman,415273
Afyonkarahisar,458364
Aksaray,316264
Amasya,248218
Ankara,5803482
Antalya,2696249
Ardahan,39990
Artvin,104669
Aydın,1161702
Ağrı,309721
Balıkesir,1273519
Bartın,98273
Batman,531466
Bayburt,49606
Bilecik,188528
Bingöl,189424
Bitlis,231921
Bolu,236509
Burdur,194949
Bursa,3214571
Denizli,1059082
Diyarbakır,1818133
Düzce,281750
Edirne,317759
Elazığ,457231
Erzincan,180988
Erzurum,749993
Eskişehir,915418
Gaziantep,2164134
Giresun,291331
Gümüşhane,73744
Hakkari,184962
Hatay,1544640
Isparta,337134
Iğdır,123254
Kahramanmaraş,1116618
Karabük,191371
Karaman,201272
Kars,148028
Kastamonu,240908
Kayseri,1445683
Kırıkkale,244097
Kırklareli,275529
Kırşehir,197834
Kilis,121803
Kocaeli,2102907
Konya,2320241
Kütahya,421114
Malatya,742725
Manisa,1475716
Mardin,888874
Mersin,1938389
Muğla,1066736
Muş,193151
Nevşehir,208585
Niğde,224536
Ordu,775800
Osmaniye,429060
Rize,221458
Sakarya,1098115
Samsun,1377546
Siirt,238284
Sinop,140139
Sivas,481942
Tekirdağ,1167059
Tokat,393914
Trabzon,824352
Tunceli,57898
Uşak,287144
Van,1127612
Yalova,220802
Yozgat,276470
Zonguldak,372627
Çanakkale,353263
Çankırı,135700
Çorum,388640
İstanbul,15655924
İzmir,4479525
Şanlıurfa,2213964
Şırnak,383388
